brand,model_name,asset_id
Volk Racing,TE37 Black,65
Volk Racing,TE37 Green,66
OEM,Mazda RX3 Stock,67
OEM,OEM Wheels (CRX),68
Volk Racing,TE37 F-Zero Blue (LE CC Rewards),69
Volk Racing,CE28N Silver,70
Volk Racing,CE28N Gold,71
Volk Racing,CE28N Bronze,72
OEM,Plymouth Cuda OEM,73
Weld,Alumastar 2.0 Black,74
Weld,Alumastar 2.0 Gold,75
Gram Lights,57S-Pro,76
Gram Lights,57S-Pro,77
Advan Racing,SA3R Blue,78
Advan Racing,SA3R Polished,79
Advan Racing,SA3R Gold,80
Advan Racing,SA3R Black,81
Advan Racing,SA3R Red,82
Advan Racing,SA3R Silver,83
Volk Racing,TE37 LE Red,84
SSR Wheels,SP3 Gold,85
SSR Wheels,SP3 Polished,86
SSR Wheels,MK-III Silver,87
SSR Wheels,MK-III Red,88
SSR Wheels,MK-III Orange,89
Volk Racing,RE30 Diamond Black,90
Volk Racing,RE30 Magnesium Blue,91
Volk Racing,RE30 Polished,92
Volk Racing,RE30 LE Red (LE CC Rewards),93
OEM,OEM Wheels (?),94
OEM,OEM Wheels (MP412-C),95
Volk Racing,GT-V Black,96
Volk Racing,GT-V Gold,97
Volk Racing,GT-V Silver,98
Volk Racing,TE37V Bronze,99
Volk Racing,TE37V Gunmetallic,100
Volk Racing,TE37 LE Black/Red (LE CC Rewards),101
Volk Racing,CE28N LE Black/Red (LE CC Rewards),102
Tourney Wheels,Tourney Wheels 103,103
Tourney Wheels,Tourney Wheels 104,104
Tourney Wheels,VTW Tourney Top 20,105
OEM,OEM Wheels (SLR McLaren),106
HRE,441R Silver,107
Tourney Wheels,Tourney Wheels 108,108
Tourney Wheels,VTW Tourney Top 10 - Versus the World,109
OEM,Dodge SEMA Challenger OEM,110
Tourney Wheels,WD-40 SEMA Cares Volk TE37V Black/Yellow (Top 10),111
Volk Racing,TE37V LE Blue/Polished (LE CC Rewards?),112
OEM,OEM Wheels (SLR McLaren Black),113
Volk Racing,TE37V Fluorescent Pink (Tourney Top 20),114
SSR Wheels,SP1R Polished,115
SSR Wheels,SP1R Silver,116
SSR Wheels,SP1R Black,117
OEM,OEM Wheels (Crown Vic/Interceptor),118
Tourney Wheels,IVD2 Tourney Top 10,119
Volk Racing,RE30 Blue (LE - F1 McLaren),120
Volk Racing,TE37V Fluorescent Blue,121
Volk Racing,TE37V Fluorescent Green,122
Volk Racing,TE37V Fluorescent Orange,123
Volk Racing,TE37V Fluorescent Yellow,124
OEM,OEM Wheels (Box/TFD),125
OEM,Nissan Skyline GTR R33 OEM,126
Tourney Wheels,SRT 13 Viper OEM + Tourney 127,127
OEM,Ford Beast Stock OEM,128
Volk Racing,TE37V Fluorescent Purple,129
OEM,Ford RS 500 OEM,130
OEM,Unknown Stock Wheel 131,131
Advan Racing,RG-D2 Polished,132
OEM,Unknown SRT? 133,133
SSR Wheels,SP1R Blue/Red,134
SSR Wheels,SP1R Red/Blue,135
Volk Racing,GT-30 Gold (Avitron Tourney Winners),136
OEM,Unknown 137,137
Tourney Wheels,Scion FR-S Race Edition + Tourney 138,138
Vorsteiner,V-RT Edition 997 Turbo,139
OEM,Ford RS500 OEM,140
OEM,Chevrolet Corvette C6 Z06 OEM,141
Advan Racing,RG-D Yellow,142
Remove,Remove 143,143
OEM,OEM Wheel 144,144
Remove,Remove 145,145
OEM,Duece Graveyard Tourney Car Stock (Gold/Black),146
OEM,Duece Stock Rims (Red/Polished),147
Tourney Wheels,VVZ Tourney (Duece Gold/Black),148
Tourney Wheels,VVZ Tourney (Duece Black/Black),149
Tourney Wheels,VVZ Tourney (Duece Red/Black),150
OEM,Porsche RWB OEM,151
OEM,Nissan SignalR Dragster OEM,152
OEM,Porsche RWB Ramintra 993R OEM,153
OEM,OEM Wheels (Taurus),154
OEM,SRT OEM Wheels 155,155
OEM,Porsche RWB Stella OEM,156
OEM,Porsche RWB Rotana 993 OEM,157
